date,year,month,temperature,rainfall,humidity,wind_speed,anomaly,city,season,temp_7day_avg,temp_30day_avg,rain_7day_sum,rain_30day_sum,yearly_avg_temp,month_name,is_anomaly,season_code,heat_index
1994-01-01,1994,1,19.92,0.92,54.2,6.6,Normal,Mumbai,Winter,19.92,19.92,0.92,0.92,27.05,Jan,0,0,25.02
1994-01-02,1994,1,19.0,1.11,58.2,7.3,Normal,Mumbai,Winter,19.46,19.46,2.03,2.03,27.05,Jan,0,0,25.06
1994-01-03,1994,1,20.21,0.86,45.5,17.2,Normal,Mumbai,Winter,19.71,19.71,2.89,2.89,27.05,Jan,0,0,25.22
1994-01-04,1994,1,21.56,1.55,70.4,17.2,Normal,Mumbai,Winter,20.17,20.17,4.44,4.44,27.05,Jan,0,0,23.33
1994-01-05,1994,1,18.96,0.05,59.0,21.7,Normal,Mumbai,Winter,19.93,19.93,4.49,4.49,27.05,Jan,0,0,25.0
1994-01-06,1994,1,19.0,1.95,60.5,23.6,Normal,Mumbai,Winter,19.78,19.78,6.44,6.44,27.05,Jan,0,0,24.82
1994-01-07,1994,1,21.76,0.91,51.7,5.1,Normal,Mumbai,Winter,20.06,20.06,7.35,7.35,27.05,Jan,0,0,24.88
1994-01-08,1994,1,20.59,0.6,57.2,10.9,Normal,Mumbai,Winter,20.15,20.12,7.03,7.95,27.05,Jan,0,0,24.65
1994-01-09,1994,1,18.78,0.93,61.2,8.9,Normal,Mumbai,Winter,20.12,19.98,6.85,8.88,27.05,Jan,0,0,24.84
1994-01-10,1994,1,20.34,1.14,53.9,11.6,Normal,Mumbai,Winter,20.14,20.01,7.13,10.02,27.05,Jan,0,0,24.92
1994-01-11,1994,1,18.88,0.19,57.8,5.8,Normal,Mumbai,Winter,19.76,19.91,5.77,10.21,27.05,Jan,0,0,25.16
1994-01-12,1994,1,18.93,0.65,73.9,13.0,Normal,Mumbai,Winter,19.75,19.83,6.37,10.86,27.05,Jan,0,0,22.58
1994-01-13,1994,1,20.05,0.49,42.5,13.7,Normal,Mumbai,Winter,19.9,19.84,4.91,11.35,27.05,Jan,0,0,25.25
1994-01-14,1994,1,17.3822,0.52,61.8,32.4,Normal,Mumbai,Winter,19.28,19.67,4.52,11.87,27.05,Jan,0,0,25.66
1994-01-15,1994,1,17.3822,0.11,52.1,12.6,Normal,Mumbai,Winter,18.82,19.52,4.03,11.98,27.05,Jan,0,0,26.54
1994-01-16,1994,1,19.02,0.21,73.4,21.5,Normal,Mumbai,Winter,18.85,19.49,3.31,12.19,27.05,Jan,0,0,22.67
1994-01-17,1994,1,18.41,0.21,58.2,7.2,Normal,Mumbai,Winter,18.58,19.42,2.38,12.4,27.05,Jan,0,0,25.37
1994-01-18,1994,1,20.46,0.56,49.5,30.4,Normal,Mumbai,Winter,18.8,19.48,2.75,12.96,27.05,Jan,0,0,25.09
1994-01-19,1994,1,18.7,2.7,57.8,45.878000000000064,Normal,Mumbai,Winter,18.77,19.44,4.8,15.66,27.05,Jan,0,0,25.25
1994-01-20,1994,1,18.01,0.28,63.5,32.9,Normal,Mumbai,Winter,18.48,19.37,4.59,15.94,27.05,Jan,0,0,24.96
1994-01-21,1994,1,22.4,0.65,87.8,23.5,Normal,Mumbai,Winter,19.2,19.51,4.72,16.59,27.05,Jan,0,0,21.33
1994-01-22,1994,1,19.94,0.45,38.9,5.3,Normal,Mumbai,Winter,19.56,19.53,5.06,17.04,27.05,Jan,0,0,25.17
1994-01-23,1994,1,20.45,1.86,48.0,10.7,Normal,Mumbai,Winter,19.77,19.57,6.71,18.9,27.05,Jan,0,0,25.13
1994-01-24,1994,1,18.29,0.06,73.1,2.6,Normal,Mumbai,Winter,19.75,19.52,6.56,18.96,27.05,Jan,0,0,22.98
1994-01-25,1994,1,19.69,0.26,44.9,10.1,Normal,Mumbai,Winter,19.64,19.52,6.26,19.22,27.05,Jan,0,0,25.38
1994-01-26,1994,1,20.76,0.28,60.1,16.9,Normal,Mumbai,Winter,19.93,19.57,3.84,19.5,27.05,Jan,0,0,24.39
1994-01-27,1994,1,18.95,5.95,55.2,23.0,Normal,Mumbai,Winter,20.07,19.55,9.51,25.45,27.05,Jan,0,0,25.34
1994-01-28,1994,1,21.32,1.01,53.6,12.1,Normal,Mumbai,Winter,19.91,19.61,9.87,26.46,27.05,Jan,0,0,24.8
1994-01-29,1994,1,19.94,0.18,58.3,20.6,Normal,Mumbai,Winter,19.91,19.62,9.6,26.64,27.05,Jan,0,0,24.7
1994-01-30,1994,1,20.5,0.38,56.7,17.0,Normal,Mumbai,Winter,19.92,19.65,8.12,27.02,27.05,Jan,0,0,24.7
1994-01-31,1994,1,20.12,0.22,70.6,8.2,Normal,Mumbai,Winter,20.18,19.66,8.28,26.32,27.05,Jan,0,0,23.07
1994-02-01,1994,2,23.9,0.16,73.3,7.4,Normal,Mumbai,Winter,20.78,19.82,8.18,25.37,27.05,Feb,0,0,24.66
1994-02-02,1994,2,21.19,1.91,64.3,23.3,Normal,Mumbai,Winter,20.85,19.86,9.81,26.42,27.05,Feb,0,0,23.97
1994-02-03,1994,2,19.72,0.82,57.6,18.3,Normal,Mumbai,Winter,20.96,19.79,4.68,25.69,27.05,Feb,0,0,24.83
1994-02-04,1994,2,23.31,1.2,62.6,12.4,Normal,Mumbai,Winter,21.24,19.94,4.87,26.84,27.05,Feb,0,0,24.78
1994-02-05,1994,2,19.67,0.48,68.1,3.8,Normal,Mumbai,Winter,21.2,19.96,5.17,25.37,27.05,Feb,0,0,23.53
1994-02-06,1994,2,21.92,0.97,70.0,26.3,Normal,Mumbai,Winter,21.4,19.97,5.76,25.43,27.05,Feb,0,0,23.52
