date,year,month,temperature,rainfall,humidity,wind_speed,anomaly,city,season
1994-01-01,1994,1,19.92,0.92,54.2,6.6,Normal,Mumbai,Winter
1994-01-02,1994,1,19.0,1.11,58.2,7.3,Normal,Mumbai,Winter
1994-01-03,1994,1,20.21,,45.5,17.2,Normal,Mumbai,Winter
1994-01-04,1994,1,21.56,1.55,70.4,17.2,Normal,Mumbai,Winter
1994-01-05,1994,1,18.96,0.05,59.0,21.7,Normal,Mumbai,Winter
1994-01-06,1994,1,19.0,1.95,60.5,23.6,Normal,Mumbai,Winter
1994-01-07,1994,1,21.76,0.91,51.7,5.1,Normal,Mumbai,Winter
1994-01-08,1994,1,20.59,0.6,57.2,10.9,Normal,Mumbai,Winter
1994-01-09,1994,1,18.78,0.93,61.2,8.9,Normal,Mumbai,Winter
1994-01-10,1994,1,20.34,1.14,53.9,11.6,Normal,Mumbai,Winter
1994-01-11,1994,1,18.88,0.19,57.8,5.8,Normal,Mumbai,Winter
1994-01-12,1994,1,18.93,0.65,73.9,,Normal,Mumbai,Winter
1994-01-13,1994,1,20.05,0.49,42.5,13.7,Normal,Mumbai,Winter
1994-01-14,1994,1,16.87,0.52,61.8,32.4,Normal,Mumbai,Winter
1994-01-15,1994,1,17.22,0.11,52.1,12.6,Normal,Mumbai,Winter
1994-01-16,1994,1,19.02,0.21,73.4,21.5,Normal,Mumbai,Winter
1994-01-17,1994,1,18.41,0.21,58.2,7.2,Normal,Mumbai,Winter
1994-01-18,1994,1,20.46,0.56,49.5,30.4,Normal,Mumbai,Winter
1994-01-19,1994,1,18.7,2.7,57.8,47.5,Normal,Mumbai,Winter
1994-01-20,1994,1,18.01,0.28,63.5,32.9,Normal,Mumbai,Winter
1994-01-21,1994,1,22.4,0.65,87.8,23.5,Normal,Mumbai,Winter
1994-01-22,1994,1,19.94,0.45,38.9,5.3,Normal,Mumbai,Winter
1994-01-23,1994,1,20.45,1.86,48.0,10.7,Normal,Mumbai,Winter
1994-01-24,1994,1,18.29,0.06,73.1,2.6,Normal,Mumbai,Winter
1994-01-25,1994,1,19.69,0.26,44.9,10.1,Normal,Mumbai,Winter
1994-01-26,1994,1,20.76,0.28,60.1,16.9,Normal,Mumbai,Winter
1994-01-27,1994,1,18.95,5.95,55.2,23.0,Normal,Mumbai,Winter
1994-01-28,1994,1,21.32,1.01,53.6,12.1,Normal,Mumbai,Winter
1994-01-29,1994,1,19.94,0.18,58.3,20.6,Normal,Mumbai,Winter
1994-01-30,1994,1,20.5,0.38,56.7,17.0,Normal,Mumbai,Winter
1994-01-31,1994,1,20.12,0.22,70.6,8.2,Normal,Mumbai,Winter
1994-02-01,1994,2,23.9,0.16,73.3,7.4,Normal,Mumbai,Winter
1994-02-02,1994,2,21.19,1.91,64.3,23.3,Normal,Mumbai,Winter
1994-02-03,1994,2,19.72,0.82,57.6,18.3,Normal,Mumbai,Winter
1994-02-04,1994,2,,1.2,62.6,12.4,Normal,Mumbai,Winter
1994-02-05,1994,2,19.67,0.48,68.1,3.8,Normal,Mumbai,Winter
1994-02-06,1994,2,21.92,0.97,70.0,26.3,Normal,Mumbai,Winter
1994-02-07,1994,2,18.77,0.36,63.7,7.2,Normal,Mumbai,Winter
1994-02-08,1994,2,19.82,0.44,75.3,19.2,Normal,Mumbai,Winter
1994-02-09,1994,2,22.21,1.27,53.8,10.4,Normal,Mumbai,Winter
1994-02-10,1994,2,23.13,0.2,71.4,13.3,Normal,Mumbai,Winter
1994-02-11,1994,2,22.39,1.15,67.0,19.0,Normal,Mumbai,Winter
1994-02-12,1994,2,22.07,2.29,53.9,2.1,Normal,Mumbai,Winter
1994-02-13,1994,2,21.9,0.15,62.3,8.0,Normal,Mumbai,Winter
1994-02-14,1994,2,20.25,2.73,63.0,17.8,Normal,Mumbai,Winter
1994-02-15,1994,2,21.5,0.1,58.6,8.3,Normal,Mumbai,Winter
1994-02-16,1994,2,22.01,0.51,58.5,35.7,Normal,Mumbai,Winter
1994-02-17,1994,2,24.4,1.13,44.8,22.0,Normal,Mumbai,Winter
1994-02-18,1994,2,23.45,0.98,53.1,10.9,Normal,Mumbai,Winter
1994-02-19,1994,2,20.41,0.12,57.6,20.5,Normal,Mumbai,Winter
1994-02-20,1994,2,23.66,1.92,54.3,16.7,Normal,Mumbai,Winter
1994-02-21,1994,2,22.71,4.34,51.4,23.1,Normal,Mumbai,Winter
1994-02-22,1994,2,22.4,0.24,70.6,9.3,Normal,Mumbai,Winter
1994-02-23,1994,2,24.46,2.71,59.0,1.9,Normal,Mumbai,Winter
1994-02-24,1994,2,25.21,0.98,81.7,4.6,Normal,Mumbai,Winter
1994-02-25,1994,2,25.19,3.3,62.2,13.1,Normal,Mumbai,Winter
1994-02-26,1994,2,22.66,0.23,70.4,17.5,Normal,Mumbai,Winter
1994-02-27,1994,2,23.58,1.88,57.9,12.0,Normal,Mumbai,Winter
1994-02-28,1994,2,24.67,0.07,53.4,9.3,Normal,Mumbai,Winter
1994-03-01,1994,3,25.76,2.58,62.6,27.7,Normal,Mumbai,Spring
1994-03-02,1994,3,23.71,1.35,73.0,8.3,Normal,Mumbai,Spring
1994-03-03,1994,3,24.28,0.55,59.1,4.9,Normal,Mumbai,Spring
1994-03-04,1994,3,23.03,,64.5,10.0,Normal,Mumbai,Spring
1994-03-05,1994,3,23.03,2.03,62.6,15.1,Normal,Mumbai,Spring
1994-03-06,1994,3,26.18,1.11,59.0,28.6,Normal,Mumbai,Spring
1994-03-07,1994,3,27.12,0.54,59.5,41.7,Normal,Mumbai,Spring
1994-03-08,1994,3,25.12,0.7,50.0,12.6,Normal,Mumbai,Spring
1994-03-09,1994,3,26.86,2.1,59.9,11.3,Normal,Mumbai,Spring
1994-03-10,1994,3,26.04,0.5,66.5,27.9,Normal,Mumbai,Spring
1994-03-11,1994,3,24.66,0.11,63.0,10.1,Normal,Mumbai,Spring
1994-03-12,1994,3,26.31,2.91,61.8,5.2,Normal,Mumbai,Spring
1994-03-13,1994,3,28.21,0.59,67.3,27.7,Normal,Mumbai,Spring
1994-03-14,1994,3,25.98,0.51,61.9,27.9,Normal,Mumbai,Spring
1994-03-15,1994,3,28.52,0.27,60.1,7.3,Normal,Mumbai,Spring
1994-03-16,1994,3,22.38,2.73,67.4,14.6,Normal,Mumbai,Spring
1994-03-17,1994,3,27.68,0.29,61.4,10.5,Normal,Mumbai,Spring
1994-03-18,1994,3,26.72,1.21,57.6,25.1,Normal,Mumbai,Spring
1994-03-19,1994,3,26.28,2.55,64.7,4.7,Normal,Mumbai,Spring
1994-03-20,1994,3,27.0,0.04,59.6,14.9,Normal,Mumbai,Spring
1994-03-21,1994,3,24.02,2.12,57.2,16.8,Normal,Mumbai,Spring
1994-03-22,1994,3,26.81,0.63,61.6,9.4,Normal,Mumbai,Spring
1994-03-23,1994,3,27.81,1.29,61.7,34.2,Normal,Mumbai,Spring
1994-03-24,1994,3,29.63,0.56,49.0,9.6,Normal,Mumbai,Spring
1994-03-25,1994,3,26.77,1.43,63.3,7.1,Normal,Mumbai,Spring
1994-03-26,1994,3,26.47,0.35,78.5,23.8,Normal,Mumbai,Spring
1994-03-27,1994,3,27.07,0.03,50.2,10.8,Normal,Mumbai,Spring
1994-03-28,1994,3,29.33,3.54,55.0,3.4,Normal,Mumbai,Spring
1994-03-29,1994,3,28.59,0.02,87.8,13.9,Normal,Mumbai,Spring
1994-03-30,1994,3,27.44,2.09,51.8,11.4,Normal,Mumbai,Spring
1994-03-31,1994,3,29.14,0.22,72.9,21.1,Normal,Mumbai,Spring
1994-04-01,1994,4,28.65,0.6,57.7,2.1,Normal,Mumbai,Spring
1994-04-02,1994,4,30.09,2.07,60.6,17.5,Normal,Mumbai,Spring
1994-04-03,1994,4,27.72,0.28,58.7,22.6,Normal,Mumbai,Spring
1994-04-04,1994,4,28.42,2.41,64.3,5.2,Normal,Mumbai,Spring
1994-04-05,1994,4,28.45,0.83,44.2,20.3,Normal,Mumbai,Spring
1994-04-06,1994,4,26.98,0.55,61.9,15.4,Normal,Mumbai,Spring
1994-04-07,1994,4,29.75,1.3,56.0,9.9,Normal,Mumbai,Spring
1994-04-08,1994,4,29.83,0.5,41.4,13.2,Normal,Mumbai,Spring
1994-04-09,1994,4,29.58,0.51,71.2,6.0,Normal,Mumbai,Spring
1994-04-10,1994,4,29.35,1.59,38.9,11.3,Normal,Mumbai,Spring
1994-04-11,1994,4,27.71,0.44,81.5,12.6,Normal,Mumbai,Spring
1994-04-12,1994,4,29.33,0.27,66.2,11.3,Normal,Mumbai,Spring
1994-04-13,1994,4,29.57,1.98,46.4,25.3,Normal,Mumbai,Spring
1994-04-14,1994,4,29.01,1.96,73.4,15.4,Normal,Mumbai,Spring
1994-04-15,1994,4,30.1,0.83,52.5,24.9,Normal,Mumbai,Spring
1994-04-16,1994,4,31.07,0.9,53.0,11.2,Normal,Mumbai,Spring
1994-04-17,1994,4,33.42,1.43,42.0,18.8,Normal,Mumbai,Spring
1994-04-18,1994,4,30.97,0.85,51.4,15.0,Normal,Mumbai,Spring
1994-04-19,1994,4,31.22,0.65,52.5,15.2,Normal,Mumbai,Spring
1994-04-20,1994,4,30.84,6.33,68.2,25.9,Normal,Mumbai,Spring
1994-04-21,1994,4,28.19,0.19,71.7,6.6,Normal,Mumbai,Spring
1994-04-22,1994,4,31.15,1.08,47.6,3.1,Normal,Mumbai,Spring
1994-04-23,1994,4,31.39,2.6,62.7,15.9,Normal,Mumbai,Spring
1994-04-24,1994,4,35.11,1.39,41.6,13.9,Normal,Mumbai,Spring
1994-04-25,1994,4,31.25,2.55,62.7,23.4,Normal,Mumbai,Spring
1994-04-26,1994,4,32.1,0.49,81.6,18.3,Normal,Mumbai,Spring
1994-04-27,1994,4,31.71,0.38,42.2,17.6,Normal,Mumbai,Spring
1994-04-28,1994,4,30.11,2.29,49.9,14.7,Normal,Mumbai,Spring
1994-04-29,1994,4,33.69,0.6,67.3,24.7,Normal,Mumbai,Spring
1994-04-30,1994,4,33.21,1.48,68.5,28.4,Normal,Mumbai,Spring
1994-05-01,1994,5,33.38,0.19,50.6,11.1,Normal,Mumbai,Spring
1994-05-02,1994,5,30.93,1.69,74.7,14.4,Normal,Mumbai,Spring
1994-05-03,1994,5,34.5,0.96,51.8,36.3,Normal,Mumbai,Spring
1994-05-04,1994,5,30.39,0.38,76.7,5.6,Normal,Mumbai,Spring
1994-05-05,1994,5,33.48,0.82,64.7,12.6,Normal,Mumbai,Spring
1994-05-06,1994,5,35.98,1.43,72.7,4.3,Normal,Mumbai,Spring
1994-05-07,1994,5,31.3,0.01,63.7,16.7,Normal,Mumbai,Spring
1994-05-08,1994,5,32.03,1.22,66.6,8.2,Normal,Mumbai,Spring
1994-05-09,1994,5,33.13,0.94,67.1,8.3,Normal,Mumbai,Spring
1994-05-10,1994,5,32.31,0.3,71.4,4.5,Normal,Mumbai,Spring
1994-05-11,1994,5,30.83,1.68,59.7,13.8,Normal,Mumbai,Spring
1994-05-12,1994,5,33.35,0.43,51.0,,Normal,Mumbai,Spring
1994-05-13,1994,5,31.73,0.39,59.2,5.8,Normal,Mumbai,Spring
1994-05-14,1994,5,34.12,0.76,53.3,4.7,Normal,Mumbai,Spring
1994-05-15,1994,5,32.11,1.35,54.0,18.1,Normal,Mumbai,Spring
1994-05-16,1994,5,35.9,3.17,76.5,2.6,Normal,Mumbai,Spring
1994-05-17,1994,5,32.47,0.18,66.2,19.9,Normal,Mumbai,Spring
1994-05-18,1994,5,33.24,0.61,65.8,21.3,Normal,Mumbai,Spring
1994-05-19,1994,5,35.02,0.08,70.7,10.2,Normal,Mumbai,Spring
1994-05-20,1994,5,32.02,1.71,66.2,9.1,Normal,Mumbai,Spring
1994-05-21,1994,5,34.28,0.71,78.7,10.7,Normal,Mumbai,Spring
1994-05-22,1994,5,35.97,1.47,39.1,6.8,Normal,Mumbai,Spring
1994-05-23,1994,5,31.66,0.47,50.0,8.8,Normal,Mumbai,Spring
1994-05-24,1994,5,34.41,2.23,53.0,15.8,Normal,Mumbai,Spring
1994-05-25,1994,5,34.59,0.92,46.2,17.8,Normal,Mumbai,Spring
1994-05-26,1994,5,35.43,3.45,61.1,8.4,Normal,Mumbai,Spring
1994-05-27,1994,5,32.46,0.1,61.6,7.8,Normal,Mumbai,Spring
1994-05-28,1994,5,32.39,0.87,79.8,11.1,Normal,Mumbai,Spring
1994-05-29,1994,5,35.2,1.75,69.0,7.0,Normal,Mumbai,Spring
1994-05-30,1994,5,34.92,1.1,54.9,15.3,Normal,Mumbai,Spring
1994-05-31,1994,5,34.89,0.03,64.9,10.8,Normal,Mumbai,Spring
1994-06-01,1994,6,35.08,5.13,91.4,6.9,Normal,Mumbai,Monsoon
1994-06-02,1994,6,33.59,6.13,87.9,6.0,Normal,Mumbai,Monsoon
1994-06-03,1994,6,35.0,5.37,93.7,12.6,Normal,Mumbai,Monsoon
1994-06-04,1994,6,35.13,21.01,82.2,15.8,Normal,Mumbai,Monsoon
1994-06-05,1994,6,33.65,7.22,94.1,18.7,Normal,Mumbai,Monsoon
1994-06-06,1994,6,37.56,8.9,85.3,29.8,Normal,Mumbai,Monsoon
1994-06-07,1994,6,35.5,48.51,85.9,8.0,Normal,Mumbai,Monsoon
1994-06-08,1994,6,33.04,0.74,100.0,10.9,Normal,Mumbai,Monsoon
1994-06-09,1994,6,35.84,8.03,81.1,4.6,Normal,Mumbai,Monsoon
1994-06-10,1994,6,33.41,17.85,94.8,26.9,Normal,Mumbai,Monsoon
1994-06-11,1994,6,36.08,1.97,88.8,5.8,Normal,Mumbai,Monsoon
1994-06-12,1994,6,36.66,11.35,80.4,7.6,Normal,Mumbai,Monsoon
1994-06-13,1994,6,33.71,3.28,74.5,20.7,Normal,Mumbai,Monsoon
1994-06-14,1994,6,36.4,24.25,76.7,24.7,Normal,Mumbai,Monsoon
1994-06-15,1994,6,35.59,4.75,94.0,34.9,Normal,Mumbai,Monsoon
1994-06-16,1994,6,36.21,4.79,98.9,32.4,Normal,Mumbai,Monsoon
1994-06-17,1994,6,37.83,10.94,85.7,1.3,Normal,Mumbai,Monsoon
1994-06-18,1994,6,34.63,2.43,86.2,13.4,Normal,Mumbai,Monsoon
1994-06-19,1994,6,33.87,4.02,91.2,17.0,Normal,Mumbai,Monsoon
